date,year,month,day,doy,alb,alb_rejected
2021-01-01,2021,1,1,1,nan,nan
2021-01-02,2021,1,2,2,0.983,nan
2021-01-03,2021,1,3,3,0.764,nan
2021-01-04,2021,1,4,4,0.894,nan
2021-01-05,2021,1,5,5,0.838,nan
2021-01-06,2021,1,6,6,nan,0.732
2021-01-07,2021,1,7,7,nan,0.620
2021-01-08,2021,1,8,8,nan,nan
2021-01-09,2021,1,9,9,nan,nan
2021-01-10,2021,1,10,10,0.817,nan
2021-01-11,2021,1,11,11,0.838,nan
2021-01-12,2021,1,12,12,0.802,nan
2021-01-13,2021,1,13,13,0.791,nan
2021-01-14,2021,1,14,14,nan,nan
2021-01-15,2021,1,15,15,nan,nan
2021-01-16,2021,1,16,16,nan,nan
2021-01-17,2021,1,17,17,0.997,nan
2021-01-18,2021,1,18,18,nan,nan
2021-01-19,2021,1,19,19,nan,nan
2021-01-20,2021,1,20,20,nan,nan
2021-01-21,2021,1,21,21,nan,nan
2021-01-22,2021,1,22,22,nan,nan
2021-01-23,2021,1,23,23,nan,nan
2021-01-24,2021,1,24,24,nan,nan
2021-01-25,2021,1,25,25,nan,nan
2021-01-26,2021,1,26,26,nan,nan
2021-01-27,2021,1,27,27,0.934,nan
2021-01-28,2021,1,28,28,nan,nan
2021-01-29,2021,1,29,29,nan,nan
2021-01-30,2021,1,30,30,0.896,nan
2021-01-31,2021,1,31,31,nan,nan
2021-02-01,2021,2,1,32,nan,nan
2021-02-02,2021,2,2,33,nan,nan
2021-02-03,2021,2,3,34,nan,nan
2021-02-04,2021,2,4,35,nan,nan
2021-02-05,2021,2,5,36,nan,nan
2021-02-06,2021,2,6,37,nan,nan
2021-02-07,2021,2,7,38,nan,nan
2021-02-08,2021,2,8,39,nan,nan
2021-02-09,2021,2,9,40,0.875,nan
2021-02-10,2021,2,10,41,0.973,nan
2021-02-11,2021,2,11,42,nan,nan
2021-02-12,2021,2,12,43,0.916,nan
2021-02-13,2021,2,13,44,0.947,nan
2021-02-14,2021,2,14,45,0.870,nan
2021-02-15,2021,2,15,46,nan,nan
2021-02-16,2021,2,16,47,nan,nan
2021-02-17,2021,2,17,48,nan,nan
2021-02-18,2021,2,18,49,0.983,nan
2021-02-19,2021,2,19,50,nan,nan
2021-02-20,2021,2,20,51,0.917,nan
2021-02-21,2021,2,21,52,0.940,nan
2021-02-22,2021,2,22,53,nan,nan
2021-02-23,2021,2,23,54,nan,nan
2021-02-24,2021,2,24,55,nan,nan
2021-02-25,2021,2,25,56,nan,nan
2021-02-26,2021,2,26,57,0.902,nan
2021-02-27,2021,2,27,58,0.856,nan
